iter	Passed	Remaining
492	70984	72999
493	71194	72924
494	71418	72861
495	71677	72834
496	71887	72755
497	72119	72698
498	72302	72592
499	72514	72514
500	72709	72419
501	72873	72292
502	73031	72160
503	73223	72061
504	73464	72009
505	73672	71925
506	73976	71934
507	74244	71906
508	74424	71792
509	74562	71638
510	74741	71523
511	74958	71444
512	75164	71354
513	75350	71245
514	75488	71091
515	75622	70932
516	75770	70787
517	75983	70703
518	76235	70653
519	76450	70569
520	76605	70430
521	76742	70273
522	76887	70124
523	77038	69981
524	77270	69911
525	77558	69890
526	77863	69884
527	78122	69836
528	78275	69693
529	78408	69532
530	78517	69349
531	78635	69175
532	78780	69025
533	78908	68860
534	79018	68679
535	79157	68524
536	79305	68377
537	79446	68223
538	79595	68076
539	79725	67914
540	79869	67763
541	80032	67628
542	80190	67490
543	80348	67351
544	80475	67186
545	80617	67033
546	80758	66880
547	80879	66711
548	81047	66580
549	81171	66413
550	81308	66256
551	81460	66113
552	81605	65963
553	81734	65800
554	81855	65631
555	81993	65477
556	82154	65339
557	82298	65189
558	82440	65038
559	82580	64884
560	82725	64734
561	82854	64573
562	82975	64405
563	83093	64235
564	83189	64048
565	83328	63895
566	83443	63722
567	83578	63566
568	83713	63410
569	83837	63245
570	83967	63086
571	84130	62950
572	84276	62802
573	84416	62650
574	84544	62489
575	84669	62325
576	84809	62173
577	84929	62007
578	85057	61846
579	85200	61696
580	85320	61530
581	85453	61373
582	85596	61224
583	85713	61056
584	85816	60878
585	85952	60724
586	86079	60563
587	86212	60407
588	86346	60252
589	86496	60107
590	86631	59953
591	86782	59809
592	86894	59639
593	87039	59491
594	87206	59358
595	87320	59190
596	87459	59039
597	87596	58886
598	87708	58716
599	87853	58569
600	87942	58384
601	88076	58229
602	88240	58095
603	88358	57930
604	88501	57781
605	88622	57619
606	88793	57489
607	88926	57334
608	89047	57171
609	89193	57025
610	89325	56870
611	89461	56717
612	89578	56552
613	89712	56398
614	89857	56252
615	89990	56097
616	90150	55960
617	90301	55817
618	90428	55659
619	90552	55500
620	90701	55355
621	90830	55198
622	90963	55045
623	91111	54900
624	91225	54735
625	91321	54559
626	91464	54412
627	91583	54250
628	91748	54115
629	91898	53971
630	92039	53823
631	92178	53673
632	92333	53533
633	92455	53373
634	92596	53225
635	92716	53063
636	92852	52913
637	92993	52764
638	93136	52617
639	93278	52469
640	93421	52321
641	93525	52152
642	93658	52000
643	93815	51860
644	93945	51706
645	94079	51554
646	94216	51404
647	94359	51256
648	94475	51095
649	94613	50945
650	94764	50803
651	94897	50650
652	95015	50490
653	95138	50333
654	95269	50179
655	95398	50025
656	95543	49880
657	95673	49726
658	95803	49573
659	95945	49426
660	96063	49266
661	96214	49124
662	96360	48979
663	96496	48829
664	96620	48673
665	96747	48518
666	96888	48371
667	97016	48217
668	97144	48064
669	97289	47918
670	97441	47776
671	97575	47626
672	97721	47481
673	97881	47343
674	98013	47191
675	98142	47038
676	98313	46905
677	98441	46752
678	98577	46603
679	98686	46440
680	98830	46295
681	98955	46140
682	99059	45976
683	99205	45831
684	99341	45682
685	99500	45543
686	99616	45385
687	99723	45223
688	99855	45072
689	99947	44904
690	100082	44754
691	100213	44603
692	100306	44436
693	100437	44285
694	100601	44149
695	100739	44001
696	100878	43853
697	101003	43700
698	101080	43526
699	101248	43392
700	101350	43229
701	101494	43084
702	101616	42930
703	101745	42779
704	101866	42625
705	101999	42475
706	102135	42327
707	102228	42161
708	102346	42006
709	102479	41857
710	102621	41712
711	102743	41559
712	102870	41408
713	103012	41262
714	103147	41114
715	103301	40974
716	103428	40823
717	103561	40674
718	103696	40526
719	103812	40371
720	103896	40204
721	104017	40050
722	104172	39911
723	104294	39758
724	104438	39614
725	104521	39447
726	104674	39307
727	104812	39160
728	104963	39019
729	105102	38873
730	105223	38721
731	105351	38571
732	105495	38427
733	105642	38284
734	105788	38141
735	105911	37990
736	106059	37847
737	106165	37690
738	106292	37540
739	106411	37387
740	106540	37238
741	106681	37094
742	106790	36938
743	106923	36790
744	107051	36641
745	107173	36490
746	107313	36345
747	107457	36202
748	107599	36058
749	107736	35912
750	107865	35763
751	107986	35612
752	108100	35459
753	108257	35320
754	108403	35177
755	108537	35030
756	108672	34884
757	108836	34747
758	108985	34605
759	109125	34460
760	109266	34316
761	109380	34163
762	109524	34020
763	109690	33883
764	109822	33736
765	109966	33592
766	110094	33444
767	110221	33296
768	110368	33153
769	110501	33006
770	110621	32856
771	110754	32709
772	110888	32563
773	111034	32420
774	111169	32275
775	111328	32136
776	111473	31993
777	111606	31846
778	111756	31705
779	111900	31561
780	112066	31424
781	112200	31278
782	112353	31137
783	112471	30986
784	112598	30839
785	112735	30694
786	112885	30552
787	113007	30403
788	113127	30253
789	113263	30108
790	113400	29963
791	113524	29814
792	113661	29669
793	113786	29521
794	113931	29378
795	114060	29231
796	114184	29083
797	114344	28944
798	114478	28798
799	114613	28653
800	114752	28509
801	114881	28362
802	115025	28219
803	115162	28074
804	115286	27926
805	115440	27785
806	115583	27642
807	115722	27498
808	115847	27350
809	115992	27208
810	116131	27063
811	116242	26913
812	116400	26773
813	116550	26631
814	116684	26486
815	116803	26338
816	116935	26192
817	117093	26052
818	117229	25907
819	117357	25761
820	117478	25613
821	117612	25468
822	117754	25325
823	117882	25178
824	118014	25033
825	118149	24888
826	118289	24744
827	118436	24602
828	118553	24454
829	118692	24310
830	118820	24164
831	118956	24020
832	119119	23881
833	119252	23736
834	119384	23590
835	119521	23446
836	119647	23300
837	119805	23160
838	119929	23013
839	120073	22871
840	120203	22725
841	120325	22578
842	120474	22437
843	120623	22295
844	120791	22157
845	120939	22015
846	121070	21869
847	121200	21724
848	121320	21577
849	121472	21436
850	121584	21288
851	121737	21146
852	121903	21007
853	122066	20868
854	122201	20724
855	122341	20580
856	122521	20444
857	122662	20300
858	122815	20159
859	122975	20019
860	123133	19878
861	123323	19743
862	123475	19601
863	123636	19461
864	123765	19315
865	123930	19176
866	124095	19036
867	124244	18894
868	124406	18753
869	124542	18609
870	124672	18464
871	124819	18322
872	124980	18181
873	125147	18041
874	125309	17901
875	125443	17756
876	125539	17607
877	125670	17462
878	125821	17320
879	125969	17177
880	126106	17033
881	126236	16888
882	126338	16740
883	126454	16593
884	126596	16450
885	126744	16307
886	126877	16163
887	127021	16020
888	127139	15874
889	127286	15731
890	127422	15588
891	127540	15442
892	127681	15298
893	127809	15154
894	127963	15012
895	128098	14868
896	128232	14724
897	128362	14580
898	128493	14435
899	128628	14292
900	128761	14148
901	128906	14005
902	129038	13861
903	129196	13719
904	129308	13573
905	129435	13429
906	129575	13286
907	129727	13144
908	129851	12999
909	129971	12854
910	130094	12709
911	130243	12567
912	130378	12423
913	130515	12280
914	130655	12137
915	130795	11994
916	130938	11851
917	131058	11706
918	131153	11559
919	131284	11416
920	131408	11271
921	131550	11129
922	131672	10984
923	131796	10840
924	131931	10697
925	132067	10553
926	132234	10413
927	132367	10269
928	132490	10125
929	132607	9981
930	132751	9838
931	132907	9697
932	133051	9554
933	133238	9415
934	133376	9272
935	133497	9128
936	133637	8985
937	133744	8840
938	133900	8698
939	134025	8554
940	134164	8412
941	134278	8267
942	134399	8123
943	134522	7980
944	134651	7836
945	134784	7693
946	134919	7550
947	135051	7407
948	135229	7267
949	135368	7124
950	135497	6981
951	135619	6837
952	135729	6693
953	135855	6550
954	135983	6407
955	136136	6265
956	136264	6122
957	136389	5979
958	136533	5837
959	136677	5694
960	136808	5552
961	136963	5410
962	137088	5267
963	137214	5124
964	137361	4982
965	137485	4839
966	137650	4697
967	137773	4554
968	137925	4412
969	138058	4269
970	138204	4127
971	138337	3985
972	138471	3842
973	138601	3699
974	138731	3557
975	138870	3414
976	139008	3272
977	139190	3131
978	139329	2988
979	139474	2846
980	139614	2704
981	139759	2561
982	139885	2419
983	140036	2277
984	140164	2134
985	140312	1992
986	140427	1849
987	140563	1707
988	140693	1564
989	140826	1422
990	140939	1279
991	141071	1137
992	141208	995
993	141326	853
994	141439	710
995	141573	568
996	141732	426
997	141862	284
998	142038	142
999	142172	0
